FAMILY,Genus,N Rows,trophi
ASPLANCHNIDAE,ASPLANCHNA,6,incudate
ASPLANCHNIDAE,ASPLANCHNOPUS,2,incudate
ASPLANCHNIDAE,HARRINGIA,1,incudate
BRACHIONIDAE,ANURAEOPSIS,3,malleate
BRACHIONIDAE,BRACHIONUS,31,malleate
BRACHIONIDAE,KELLICOTTIA,3,malleate
BRACHIONIDAE,KERATELLA,22,malleate
BRACHIONIDAE,MYTILINA,2,malleate
BRACHIONIDAE,NOTHOLCA,8,malleate
BRACHIONIDAE,PLATYIAS,3,malleate
COLLOTHECIDAE,COLLOTHECA,7,uncinate
COLLOTHECIDAE,CONOCHILOIDES,1,malleoramate
CONOCHILIDAE,CONOCHILOIDES,4,malleoramate
CONOCHILIDAE,CONOCHILUS,3,malleoramate
DICRANOPHORIDAE,ENCENTRUM,1,forcipate
EPIPHANIDAE,EPIPHANES,4,malleate
EPIPHANIDAE,LILIFEROTROCHA,2,malleate
EPIPHANIDAE,PROALIDES,1,malleate
EUCHLANIDAE,DIPLEUCHLANIS,1,malleate
EUCHLANIDAE,EUCHLANIS,8,malleate
FILINIIDAE,FILINIA,8,malleoramate
FLOSCULARIIDAE,FLOSCULARIA_UNKNOWN,1,malleoramate
FLOSCULARIIDAE,PTYGURA,3,malleoramate
FLOSCULARIIDAE,SINANTHERINA,1,malleoramate
GASTROPIDAE,GASTROPUS,1,virgate
GASTROPODIDAE,ASCOMORPHA,6,virgate
GASTROPODIDAE,GASTROPUS,4,virgate
HEXARTHRIDAE,HEXARTHRA,6,malleoramate
LECANIDAE,LECANE,30,malleate
LECANIDAE,MONOSTYLA,15,malleate
LEPADELLIDAE,COLURELLA,5,malleate
LEPADELLIDAE,HETEROLEPADELLA,1,malleate
LEPADELLIDAE,LEPADELLA,8,malleate
LEPADELLIDAE,SQUATINELLA,2,malleate
MYTILINIDAE,LOPHOCHARIS,2,malleate
MYTILINIDAE,MYTILINA,9,malleate
NOTOMMATIDAE,CEPHALODELLA,3,virgate
NOTOMMATIDAE,MONOMMATA,3,virgate
NOTOMMATIDAE,NOTOMMATA,2,virgate
NOTOMMATIDAE,ROTIFER_UNKNOWN,1,virgate
PHILODINIDAE,DISSOTROCHA,2,ramate
PHILODINIDAE,ROTARIA,3,ramate
PROALIDAE,PROALES,2,malleate/virgate
PROALIDAE,ROTIFER_UNKNOWN,1,malleate/virgate
ROTIFER_UNKNOWN,ROTIFER_UNKNOWN,3,unknown
SCARIDIIDAE,SCARIDIUM,1,virgate
SYNCHAETIDAE,PLOESOMA,4,virgate
SYNCHAETIDAE,POLYARTHRA,7,virgate
SYNCHAETIDAE,SYNCHAETA,9,virgate
TESTUDINELLIDAE,POMPHOLYX,1,malleoramate
TESTUDINELLIDAE,TESTUDINELLA,5,malleoramate
TRICHOCERCIDAE,ASCOMORPHELLA,1,virgate
TRICHOCERCIDAE,TRICHOCERCA,30,virgate
TRICHOTRIIDAE,MACROCHAETUS,5,malleate
TRICHOTRIIDAE,TRICHOTRIA,4,malleate
TRICHOTRIIDAE,WOLGA,1,malleate
TROCHOSPHAERIDAE,TROCHOSPHAERA,1,malleoramate